-5,-5,1.99680511182109
-5,-4.6,1.99617412180445
-5,-4.2,1.99519916903367
-5,-3.8,1.9936295960645
-5,-3.4,1.99097498953781
-5,-3,1.98620743395932
-5,-2.6,1.97698817915456
-5,-2.2,1.95746190348031
-5,-1.8,1.91142788293531
-5,-1.4,1.79185926443665
-5,-1,1.49840255591054
-5,-0.6,1.11313343409751
-5,-0.2,1
-5,0.2,1
-5,0.6,1.11313343409751
-5,1,1.49840255591054
-5,1.4,1.79185926443665
-5,1.8,1.91142788293531
-5,2.2,1.95746190348031
-5,2.6,1.97698817915456
-5,3,1.98620743395932
-5,3.4,1.99097498953781
-5,3.8,1.9936295960645
-5,4.2,1.99519916903367
-5,4.6,1.99617412180445
-5,5,1.99680511182109
-4.6,-5,1.99617412180445
-4.6,-4.6,1.99554313178781
-4.6,-4.2,1.99456817901703
-4.6,-3.8,1.99299860604786
-4.6,-3.4,1.99034399952117
-4.6,-3,1.98557644394269
-4.6,-2.6,1.97635718913793
-4.6,-2.2,1.95683091346367
-4.6,-1.8,1.91079689291868
-4.6,-1.4,1.79122827442001
-4.6,-1,1.49777156589391
-4.6,-0.6,1.11250244408087
-4.6,-0.2,0.999369009983362
-4.6,0.2,0.999369009983362
-4.6,0.6,1.11250244408087
-4.6,1,1.49777156589391
-4.6,1.4,1.79122827442001
-4.6,1.8,1.91079689291868
-4.6,2.2,1.95683091346367
-4.6,2.6,1.97635718913793
-4.6,3,1.98557644394269
-4.6,3.4,1.99034399952117
-4.6,3.8,1.99299860604786
-4.6,4.2,1.99456817901703
-4.6,4.6,1.99554313178781
-4.6,5,1.99617412180445
-4.2,-5,1.99519916903367
-4.2,-4.6,1.99456817901703
-4.2,-4.2,1.99359322624625
-4.2,-3.8,1.99202365327708
-4.2,-3.4,1.98936904675039
-4.2,-3,1.9846014911719
-4.2,-2.6,1.97538223636714
-4.2,-2.2,1.95585596069289
-4.2,-1.8,1.90982194014789
-4.2,-1.4,1.79025332164923
-4.2,-1,1.49679661312312
-4.2,-0.6,1.11152749131009
-4.2,-0.2,0.99839405721258
-4.2,0.2,0.99839405721258
-4.2,0.6,1.11152749131009
-4.2,1,1.49679661312312
-4.2,1.4,1.79025332164923
-4.2,1.8,1.90982194014789
-4.2,2.2,1.95585596069289
-4.2,2.6,1.97538223636714
-4.2,3,1.9846014911719
-4.2,3.4,1.98936904675039
-4.2,3.8,1.99202365327708
-4.2,4.2,1.99359322624625
-4.2,4.6,1.99456817901703
-4.2,5,1.99519916903367
-3.8,-5,1.9936295960645
-3.8,-4.6,1.99299860604786
-3.8,-4.2,1.99202365327708
-3.8,-3.8,1.99045408030791
-3.8,-3.4,1.98779947378122
-3.8,-3,1.98303191820274
-3.8,-2.6,1.97381266339798
-3.8,-2.2,1.95428638772372
-3.8,-1.8,1.90825236717873
-3.8,-1.4,1.78868374868006
-3.8,-1,1.49522704015396
-3.8,-0.6,1.10995791834093
-3.8,-0.2,0.996824484243414
-3.8,0.2,0.996824484243414
-3.8,0.6,1.10995791834093
-3.8,1,1.49522704015396
-3.8,1.4,1.78868374868006
-3.8,1.8,1.90825236717873
-3.8,2.2,1.95428638772372
-3.8,2.6,1.97381266339798
-3.8,3,1.98303191820274
-3.8,3.4,1.98779947378122
-3.8,3.8,1.99045408030791
-3.8,4.2,1.99202365327708
-3.8,4.6,1.99299860604786
-3.8,5,1.9936295960645
-3.4,-5,1.99097498953781
-3.4,-4.6,1.99034399952117
-3.4,-4.2,1.98936904675039
-3.4,-3.8,1.98779947378122
-3.4,-3.4,1.98514486725453
-3.4,-3,1.98037731167605
-3.4,-2.6,1.97115805687129
-3.4,-2.2,1.95163178119703
-3.4,-1.8,1.90559776065204
-3.4,-1.4,1.78602914215337
-3.4,-1,1.49257243362727
